일자,장소,인물,대사,화면,배경음악,표정,비고,퀘스트,퀘스트 내용
2일차 아침,객실,나레이션,창밖에서 들려오는 새 소리에 눈을 뜬다.,기차 내 객실,새 소리,,,,
2일차 아침,객실,나레이션,객실의 커튼을 걷어내자 밝은 빛이 객실 안으로 쏟아진다.,,,,,,
2일차 아침,객실,솔,카페 오픈하기 딱 좋은 날씨네.,,,웃음,,,
2일차 아침,객실,솔,내가 의도한 열차 생활은 아니지만...,,,당황,,,
2일차 아침,객실,나레이션,카페로 가자.,,,,,,
2일차 아침,객실,솔,지금은 일할 시간이야.,,,,카페 외 다른 곳으로 이동 시,,
2일차 낮,카페,,,,카페bgm,,카운터 진입 시 1인칭으로 전환,,
2일차 낮,카페,,랜덤 등장인물 룸서비스 주문 3건 (하루 내 수행),,,,3건,,
2일차 낮,카페,루카스,안녕하세요.,,,일반,,,
2일차 낮,카페,루카스,가이웰에서 이 기차에 탄 루카스라고 해요.,,,일반,,,
2일차 낮,카페,루카스,"음…내릴 때까지 여기 커피만 마시게 될 테니까, 앞으로 잘 부탁드려요.",,,일반,,,
2일차 낮,카페,루카스,오늘은 에스프레소로 주문할게요.,,,일반,에스프레소 1,,
2일차 낮,카페,,,,,,,,
2일차 낮,카페,나레이션,주문 2건이 들어왔다,,,,랜덤 등장인물 주문 2건,,
2일차 낮,카페,,,,,,,,
2일차 낮,카페,슬로우,안녕하신가. 내 이름은 슬로우.,,,일반,,,
2일차 낮,카페,슬로우,가이웰에서 이 기차에 올라탔다네.,,,일반,,,
2일차 낮,카페,슬로우,한동안 나의 커피를 책임질 자네의 실력을 좀 보러 왔네.,,,일반,,,
2일차 낮,카페,슬로우,아메리카노 따뜻하게 한 잔 만들어 줄 수 있겠나?,,,일반,아메리카노 1 -핫,,
2일차 낮,카페,,,,,,,,
2일차 낮,카페,나레이션,주문 1건이 들어왔다,,,,랜덤 등장인물 주문 1건,,
2일차 낮,카페,,,,,,,,
2일차 낮,카페,가이,안녕 커피 청년~,,,일반,,,
2일차 낮,카페,가이,난 가이웰에서 이 기차에 탄 가이라네.,,,일반,,,
2일차 낮,카페,가이,"내가 지금 쫓기는 신세라 목이 좀 타는데, 시원하게 아메리카노 한 잔 만들어 주게.",,,일반,아메리카노 2 -아이스,,
2일차 낮,카페,,,,,,,,
2일차 낮,카페,나레이션,주문 1건이 들어왔다,,,,랜덤 등장인물 주문 1건,,
2일차 낮,카페,,,,,,,,
2일차 낮,카페,솔,"...카페 첫날, 정신없었지만 나쁘지 않았던 것 같아.",,,일반,,,
2일차 낮,카페,,,,,,카운터 벗어나서 3인칭으로 복귀,,
2일차 밤,객실,나레이션,책상 위에 처음 이곳에 오기 전에 본 보라색 편지지가 놓여있다.,객실,,,,,
2일차 밤,객실,편지지,반가워 솔.,편지지,반짝이는 소리,,,,
2일차 밤,객실,편지지,오늘 하루는 어땠어?,,,,,,
2일차 밤,객실,편지지,너를 빨리 보게 될 날이 기대돼.,,,,,,
2일차 밤,객실,편지지,빨리 나를 찾아줘.,,,,,,
2일차 밤,객실,솔,찾아 달라고???,,,당황,,,
2일차 밤,객실,솔,도대체 누가 내 방에 이 편지지를 두고 간 거지...,,,,,,
2일차 밤,객실,솔,다른 사람은 알지도 몰라.,,,,,,
2일차 밤,객실,솔,물어보러 나가봐야겠어.,,,,,비밀 퀘스트 1,당신의 객실에 누군가가 비밀 편지를 두고 갔네요. 과연 그 사람은 누구일까요? 기차를 돌아다니며 조사를 해봅시다.
2일차 밤,정원,,,,,,,,
2일차 밤,정원,레이비야크,...,정원,,,,,
2일차 밤,정원,솔,무슨 생각을 저렇게 골똘히 하시는 걸까?,,,,,,
2일차 밤,정원,솔,뭔가 방해하면 안 될 것 같아,,,,,,
2일차 밤,재즈바,,,,,,,,
2일차 밤,재즈바,바이올렛,(음표),재즈바,재즈바 bgm 크게,,,,
2일차 밤,재즈바,솔,멋있어…,,,일반,,,
2일차 밤,재즈바,솔,카페에서 일할 때랑은 완전 분위기가 딴판이잖아??,,,,,,
2일차 밤,재즈바,바이올렛,솔!! 어서 와!,,bgm 잔잔,웃음,,,
2일차 밤,재즈바,바이올렛,어땠어? 내 공연 말이야~,,,,,,
2일차 밤,재즈바,솔,정말 멋있었어!!,,,,,,
2일차 밤,재즈바,솔,드레스도 너무 잘 어울려!,,,,,,
2일차 밤,재즈바,솔,내가 낮에 근무할 때랑은 분위기가 완전히 달라진 것 같아,,,,,,
2일차 밤,재즈바,바이올렛,후훗 맞아,,,,,,
2일차 밤,재즈바,바이올렛,낮과 밤의 분위기가 완전히 상반되는 것!,,,,,,
2일차 밤,재즈바,바이올렛,그게 바로 루나 익스프레스의 매력이야,,,,,,
2일차 밤,재즈바,바이올렛,이 칸 말고도 다른 곳을 돌아보면 더더욱 루나 익스프레스의 매력에 점차 빠져들 거야~,,,,,,
2일차 밤,재즈바,바이올렛,자기가 내 매력에 풍덩 빠진 것처럼 말이야 ,,,능글맞은 표정,,,
2일차 밤,재즈바,솔,하하! 바이올렛은 정말로 여길 좋아하는구나,,,,,,
2일차 밤,재즈바,솔,"아참! 하나 물을 게 있는데, 누가 내 방에 편지를 두고 갔는데",,,,,,
2일차 밤,재즈바,솔,혹시 누가 두고 간 건지 알아?,,,,,,
2일차 밤,재즈바,바이올렛,흠... 편지지가 내가 좋아하는 보라색이긴 한데,,,,,,
2일차 밤,재즈바,바이올렛,객실 쪽으로 가는 사람은 워낙 많았어서 말해주기가 어렵네..,,,,,,
2일차 밤,재즈바,바이올렛,객실 쪽은 정원이랑 더 가까우니깐 레이한테 한 번 물어보는 게 어때?,,,,,,
2일차 밤,재즈바,바이올렛,아마 정원 쪽에서 객실로 가는 사람을 봤을 수도 있어,,,,,,
2일차 밤,재즈바,솔,흠...그래야겠다,,,,,,
2일차 밤,재즈바,솔,고마워 바이올렛,,,,,,
2일차 밤,재즈바,솔,공연 언제나 응원할게!,,,,,,
2일차 밤,재즈바,바이올렛,공연 보러 오는 건 언제든지 환영이야~,,,,,,
2일차 밤,재즈바,솔,오늘은 너무 늦었어.,,,,,,
2일차 밤,재즈바,솔,정원은 내일 밤 들르자. ,,,,,비밀 퀘스트 2,편지를 남긴 사람은 누구일까요? 정원사는 그에 대해 알지도 모릅니다. 정원에서 정보를 얻어봅시다.
2일차 밤,객실,나레이션,(객실 자동 이동),,,,,,
3일차 아침,객실,나레이션,띠띠띠-,,시계 알람 소리,,,,
3일차 아침,객실,나레이션,해가 밝았다. 출근할 시간이다.,,,,,,
3일차 아침,객실,나레이션,지금은 일할 시간이야.,,,,카페 외 다른 곳으로 이동 시,,
3일차 낮,카페,,,,카페bgm,,카운터 진입 시 1인칭으로 전환,,
3일차 낮,카페,,랜덤 등장인물 룸서비스 주문 4건,,,,4건,,
3일차 낮,카페,,,,,,,,
3일차 낮,카페,나레이션,주문 1건이 들어왔다,,,,1건,,
3일차 낮,카페,,,,,,,,
3일차 낮,카페,루카스,...안녕하세요. 아메리카노 따뜻하게 한 잔 부탁드려요.,,,일반,아메리카노 3 -핫,,
3일차 낮,카페,,,,,,,,
3일차 낮,카페,루카스,"…저기, 여기서 일하면 기차에 탄 분들하고 서로 얘기도 나누게 되죠?",,,곤란,,,
3일차 낮,카페,솔,"네, 아무래도요?",,,놀람,,,
3일차 낮,카페,루카스,"그럼, 저도 여기서 일할 수 있을까요? 잠깐 짧게라도 괜찮아요.",,,곤란,,,
3일차 낮,카페,솔,현재로썬 알바생 쓸 여유가 없는데요. 특별한 이유가 있나요?,,,놀람,,,
3일차 낮,카페,루카스,"…음, 그럼 어떡하지.(혼잣말)",,,곤란,,,
3일차 낮,카페,루카스,그럼 혹시라도 누가 누군가를 찾는다고 얘기를 하면 저한테 전해주실 수 있나요?,,,곤란,,,
3일차 낮,카페,솔,누군가를 찾고 계신가요? ,,,일반,,,
3일차 낮,카페,솔,성함을 말씀해 주시면 제가 확인해 드릴게요.,,,일반,,,
3일차 낮,카페,루카스,"앗, 아뇨아뇨! 그런…게 아니에요.",,,곤란,,,
3일차 낮,카페,루카스,음… 제가 한 말은 그냥 잊어 주세요…,,,곤란,대사 이후 루카스 상반신 일러스트 사라짐,,
3일차 낮,카페,나레이션,주문 1건이 들어왔다,,,,1건,,
3일차 낮,카페,,,,,,,,
3일차 낮,카페,가이,안녕하신가~ 오늘은 에스프레소가 마시고 싶구만.,,,일반,에스프레소 2,,
3일차 낮,카페,,,음료제작창,,,음료 제작 완료 후 이어서 스토리 진행,,
3일차 낮,카페,가이,"자네, 내가 한 가지 물어볼 것이 있다네.",,,일반,,,
3일차 낮,카페,솔,"네, 말씀하세요.",,,일반,,,
3일차 낮,카페,가이,슬로우라고 하는 자라는 주로 언제 카페에 오는지 알고 싶네.,,,일반,,,
3일차 낮,카페,솔,…?,,,놀람,,,
3일차 낮,카페,솔,주로 낮에 많이 오시는 것 같은데요.,,,놀람,,,
3일차 낮,카페,솔,그런데 그건 왜 여쭤보시는 건가요?,,,놀람,,,
3일차 낮,카페,가이,"흠. 이건 사실 비밀인데, 그자가 나를 죽이려 한다네~",,,일반,,,
3일차 낮,카페,가이,"껄껄, 목숨 보전을 하려면 되도록 안 만나야 하지 않겠나!",,,일반,,,
3일차 낮,카페,솔,…제가 제대로 들은 게 맞나요?,,,찡그림,,,
3일차 낮,카페,솔,그렇게 즐거워하실 일이 아닌 것 같은데요.,,,찡그림,,,
3일차 낮,카페,가이,하하! 자네도 그자와 얘기를 나눠 보면 이유를 알게 될 걸세.,,,일반,,,
3일차 낮,카페,가이,"아하, 그자에게 나를 왜 죽이려 하는지 물어보게.",,,일반,,,
3일차 낮,카페,가이,아주 재밌을 것이야~,,,일반,대사 이후 가이 상반신 일러스트 사라짐,,
3일차 낮,카페,나레이션,주문 2건이 들어왔다,,,,2건,,
3일차 낮,카페,,,,,,,,
3일차 낮,카페,솔,오늘은 여기까지 해야겠어. 시간이 벌써 이렇게 됐네.,,,,카운터 벗어나서 3인칭으로 복귀,,
3일차 밤,객실,,,,,,,,
3일차 밤,객실,솔,"아, 저번에 정원에 들러 레이비야크씨에게 편지에 대해 여쭤보기로 했지",,,,정원이 아닌 다른 곳으로 가려고 할 시,,
3일차 밤,객실,솔,정원으로 가자.,,,,정원으로 가야해 라는 메시지 도출,,
3일차 밤,정원,,,,,,,,
3일차 밤,정원,레이비야크,안녕하세요. 솔. ,,,,,,
3일차 밤,정원,솔,안녕하세요 레이비야크씨!,,,,,,
3일차 밤,정원,솔,여긴 밤에도 정말 아름답네요,,,,,,
3일차 밤,정원,솔,투명한 창문 사이로 달빛이 비쳐서 마치 바깥에 있는 것 같아요,,,,,,
3일차 밤,정원,레이비야크,"제가 이곳 설계를 담당했는데, 그렇게 느끼셨다니 다행이네요.",,,,,,
3일차 밤,정원,레이비야크,특히 달빛에만 피는 루나 플라워는 밤에 볼 수 있는 이 온실의 최대 자랑거리랍니다.,,,,,,
3일차 밤,정원,레이비야크,잠들지 못하는 승객분들을 위한 위로가 되기도 하지요,,,씁쓸한 웃음,,,
3일차 밤,정원,솔,....?,,,,,,
3일차 밤,정원,솔,(레이비야크씨의 표정이 안좋아 보여),,,,,,
3일차 밤,정원,솔,(괜히 다른 질문을 해서 심기를 건드리지 말자),,,,,,
3일차 밤,정원,솔,그렇군요... 푸른 꽃이 엄청 아름답네요,,,,,,
3일차 밤,정원,레이비야크,그렇죠? 이 꽃은 특수하게 우리면 차를 만들 수도 있다고 하더라구요,,,,,,
3일차 밤,정원,레이비야크,그 비전은 아주 희귀해서 ,,,,,,
3일차 밤,정원,레이비야크,잘못 우리면 극독이 되기도 하는 아주 위험한 꽃이라 모두 겁내지만요,,,,,,
3일차 밤,정원,솔,정말요?,,,,,,
3일차 밤,정원,솔,괜히 만지기 무서워지네요...,,,,,,
3일차 밤,정원,솔,그래도 어떤 차를 만들 수 있는지 너무 궁금해지기도 하구요!,,,,,,
3일차 밤,정원,레이비야크,사람의 걱정을 모두 사라지게 한다나...,,,,,,
3일차 밤,정원,레이비야크,정말로 그럴 수 있는지는 아무도 모르지만요,,,씁쓸한 웃음,,,
3일차 밤,정원,레이비야크,"아, 그러고 보니 러스크씨가 당신을 찾고 있었어요. ",,,,,,
3일차 밤,정원,레이비야크,이른 시일 내로 방문해달라고 전해달라고 했어요,,,,,,
3일차 밤,정원,솔,앗! 그래요?? 무슨 일이시지,,,,,,
3일차 밤,정원,솔,전달해 주셔서 감사합니다,,,,,,
3일차 밤,정원,솔,저는 그럼 이만 가볼게요!,,,,,,
3일차 밤,정원,솔,좋은 밤 되세요,,,,,,
