일자,장소,인물,대사,화면 연출,배경음악,표정,비고,퀘스트,퀘스트 내용
1일차 낮,카페,바이올렛,가장 기본적인 것부터 알려줄게! 커피포트를 클릭해 볼래?,커피 포트 외곽선 반짝거림,띠롱띠롱 효과음,,,,
1일차 낮,카페,바이올렛,그럼 이렇게 제작창을 열 수 있어.,음료 제작창 화면,달칵 효과음,,,,
1일차 낮,카페,바이올렛,여기 가장 왼쪽에서는 에스프레소 추출을 할 수 있...,,,,,,
1일차 낮,카페,바이올렛,어머! ,카페 화면 ,,놀람,,,
1일차 낮,카페,솔,왜 그러세요?,,,,,,
1일차 낮,카페,바이올렛,...지금 원두가 없는 것 같아!,,,놀람,,,
1일차 낮,카페,솔,네?? 그럼 오늘 장사는 어떻게 하나요?,,,놀람,,,
1일차 낮,카페,나레이션,솔은 창밖을 바라본다. 기차는 이미 출발해 엄청난 속도로 달리고 있다. ,,,,,,
1일차 낮,카페,나레이션,내려서 재료를 사 올 수도 없다는 뜻이다.,,,,,,
1일차 낮,카페,바이올렛,하하 괜찮아 달링~ 아마 곧 파이아 씨가 올 거야.,,,웃음,,,
1일차 낮,카페,솔,파이아...씨?,,,어리둥절,,,
1일차 낮,카페,나레이션,초면인 이름에 어리둥절한 표정을 짓는다. ,,,,,,
1일차 낮,카페,바이올렛,파이아 씨는 말이지~,,,,,,
1일차 낮,카페,나레이션,"바이올렛이 파이아에 관해 설명하기 시작할 때, 솔이 서 있는 카운터 뒤 창문이 활짝- 열린다.",,철컥. 창문 열리는 소리,,,,
1일차 낮,카페,나레이션,느닷없이 뒤에서 불어오는 강풍에 솔이 뒤를 돈다.,,바람 부는 소리,,,,
1일차 낮,카페,나레이션,"그리고 마주한 건, 창틀에 걸터앉은 치타 한 마리.",,부르릉 바이크 소리 (치타 등장 효과음)=(치타상점 오픈 효과음),,,,
1일차 낮,카페,솔,????,,,놀람,,,
1일차 낮,카페,솔,...지금...기차...달리는...?,,,놀람,,,
1일차 낮,카페,???,하하하하하!!,,,웃음,,,
1일차 낮,카페,바이올렛,호랑이도 제 말 하면 온다더니! 그 말이 딱이네~,,,웃음,,,
1일차 낮,카페,바이올렛,인사해 달링. 이분이 파이아 씨야.,,,,,,
1일차 낮,카페,바이올렛,카페 재료는 파이아 씨가 대부분 가져다주셔.,,,,,,
1일차 낮,카페,파이아,네가 새로 온 바리스타구나? 만나서 반가워. ,,,웃음,,,
1일차 낮,카페,파이아,"바이올렛이 소개한 대로, 난 이 기차의...뭐랄까. 방문 상인? 그런 거야. ",,,,,,
1일차 낮,카페,파이아,카페와 관련된 재료를 주로 가져오고 있어. ,,,,,,
1일차 낮,카페,솔,"아 그렇군요. 안녕하세요, 저는 솔이라고 해요.",,,,,,
1일차 낮,카페,바이올렛,우리 지금 파이아 씨가 너~무 보고 싶었어!,,,웃음,,,
1일차 낮,카페,파이아,"하하 바이올렛, 내가 아니라 내가 가져올 재료가 보고 싶었던 건 아니고?",,,웃음,,,
1일차 낮,카페,바이올렛,역시 파이아 씨. 눈치도 빠르다니까~,,,웃음,,,
1일차 낮,카페,바이올렛,"달링, 파이아 씨가 가져온 원두를 확인해 보자.",,,,,,
1일차 낮,카페,바이올렛,어디 보자... 원두는 400빈.,치타 상점 화면 ,부르릉 바이크 소리,,,,
